desktop-aos,desktop-mixed,laptop-aos,laptop-mixed,graphic-aos,graphic-mixed,ray-aos,ray-mixed,voxel-aos,voxel-mixed
3.65714e+08,3.38692e+08,6.41379e+08,4.52975e+08,4.87478e+08,3.48192e+08,2.61169e+08,2.09341e+08,4.34161e+08,2.97927e+08
3.60742e+08,3.34185e+08,6.35356e+08,4.43944e+08,4.84901e+08,3.44761e+08,2.57112e+08,2.06642e+08,4.28754e+08,2.92687e+08
4.55211e+08,4.15447e+08,8.68923e+08,5.95199e+08,6.0102e+08,4.26454e+08,3.24814e+08,2.5751e+08,5.33544e+08,3.64827e+08
4.12172e+08,3.78417e+08,7.54603e+08,5.18026e+08,5.48825e+08,3.89411e+08,2.94361e+08,2.3691e+08,4.86541e+08,3.34734e+08
4.29823e+08,3.93756e+08,8.01041e+08,5.55686e+08,5.6576e+08,4.06977e+08,3.12884e+08,2.43475e+08,5.05403e+08,3.47911e+08
3.79748e+08,3.49967e+08,6.71406e+08,4.89617e+08,5.03442e+08,3.61469e+08,2.7166e+08,2.16604e+08,4.49101e+08,3.07104e+08
3.51128e+08,3.25118e+08,6.09782e+08,4.31979e+08,4.6776e+08,3.35128e+08,2.50725e+08,2.02764e+08,4.19245e+08,2.99811e+08
4.70327e+08,4.27211e+08,9.02017e+08,6.31141e+08,6.12908e+08,4.39084e+08,3.3487e+08,2.64607e+08,5.47486e+08,3.71349e+08
3.81208e+08,3.52108e+08,6.96732e+08,4.70513e+08,5.05835e+08,3.61802e+08,2.7212e+08,2.17564e+08,4.51437e+08,3.0912e+08
4.39928e+08,4.02102e+08,8.19696e+08,5.89211e+08,5.79056e+08,4.13896e+08,3.14713e+08,2.47938e+08,5.16133e+08,3.55822e+08
4.61177e+08,4.18762e+08,8.98649e+08,6.1088e+08,6.01877e+08,4.30077e+08,3.27813e+08,2.59054e+08,5.38369e+08,3.63539e+08
3.48651e+08,3.238e+08,6.07839e+08,4.27069e+08,4.66793e+08,3.33439e+08,2.49407e+08,2.00564e+08,4.18438e+08,2.89197e+08
3.55176e+08,3.2933e+08,6.18107e+08,4.37546e+08,4.75523e+08,3.39066e+08,2.53753e+08,2.04264e+08,4.24264e+08,2.89123e+08
3.24324e+08,3.02237e+08,5.59508e+08,3.95738e+08,4.34121e+08,3.10623e+08,2.3412e+08,1.86191e+08,3.96588e+08,2.68918e+08
4.28076e+08,3.92323e+08,7.84651e+08,5.53628e+08,5.68299e+08,4.035e+08,3.05553e+08,2.42599e+08,5.04435e+08,3.39109e+08
3.65532e+08,3.38739e+08,6.40791e+08,4.53435e+08,4.89012e+08,3.48915e+08,2.61412e+08,2.09582e+08,4.37103e+08,2.92807e+08
3.517e+08,3.26295e+08,6.16529e+08,4.28661e+08,4.704e+08,3.36444e+08,2.51319e+08,2.02326e+08,4.20811e+08,2.8288e+08
4.02517e+08,3.7026e+08,7.20738e+08,5.06514e+08,5.33367e+08,3.82265e+08,2.87185e+08,2.30661e+08,4.76013e+08,3.22691e+08
3.09802e+08,2.88902e+08,5.16863e+08,3.78035e+08,4.14434e+08,2.98023e+08,2.2124e+08,1.78942e+08,3.70722e+08,2.51608e+08
3.88259e+08,3.57739e+08,6.88709e+08,4.77499e+08,5.14326e+08,3.68242e+08,2.76618e+08,2.21181e+08,4.60894e+08,3.09774e+08
