"372,04";"347,738";"666,177";"509,075";"478,027";"340,678";"271,904";"217,408";"437,209";"305,239"
"402,307";"375,605";"785,417";"587,905";"501,949";"370,355";"297,265";"237,177";"472,15";"326,013"
"354,07";"332,323";"651,825";"476,367";"446,281";"319,044";"259,425";"208,953";"417,279";"288,408"
"339,509";"318,233";"587,024";"507,446";"422,726";"308,279";"245,9";"197,578";"399,058";"274,793"
"410,737";"381,42";"814,492";"561,954";"512,301";"363,946";"297,45";"236,743";"478,534";"330,524"
"409,328";"379,115";"763,807";"682,799";"504,38";"367,182";"295,465";"234,584";"479,025";"328,057"
"361,402";"337,898";"630,419";"472,6";"445,463";"324,862";"263,31";"212,811";"426,598";"292,033"
"344,663";"322,661";"596,143";"554,741";"433,49";"313,32";"251,044";"200,157";"409,401";"281,728"
"328,861";"308,045";"636,064";"442,167";"408,674";"297,681";"236,918";"193,42";"388,045";"267,92"
"284,592";"268,143";"604,38";"354,671";"356,847";"259,2";"208,416";"164,983";"334,225";"262,536"
"537,728";"491,65";"1351,58";"797,29";"654,575";"477,111";"400,2";"304,307";"615,925";"420,563"
"513,327";"471,837";"1131,03";"710,804";"626,082";"448,421";"381,28";"293,038";"589,263";"405,396"
"361,845";"338,824";"814,271";"454,927";"453,709";"324,717";"261,537";"213,374";"424,466";"295,09"
"341,156";"320,148";"733,984";"423,258";"430,994";"306,296";"249,685";"200,302";"401,676";"278,628"
"450,119";"417,619";"1094,14";"583,117";"557,305";"397,459";"329,207";"258,381";"521,992";"359,794"
"445,072";"412,043";"940,909";"585,793";"548,401";"394,083";"325,822";"255,7";"516,336";"356,115"
"287,581";"272,668";"525,491";"353,746";"367,31";"260,076";"211,715";"169,27";"342,726";"262,318"
"466,982";"432,912";"1187,52";"676,801";"581,296";"417,007";"345,854";"270,312";"541,495";"376,064"
"421,398";"391,525";"867,027";"548,088";"522,617";"377,778";"310,778";"243,401";"489,779";"339,774"
"440,359";"409,066";"1089,21";"579,038";"543,564";"391,879";"326,052";"254,249";"516,039";"352,439"
"445,583";"413,696";"984,647";"597,594";"548,744";"399,477";"328,963";"256,276";"523,186";"356,65"
"321,118";"302,575";"692,065";"413,983";"403,214";"295,405";"233,028";"188,96";"380,925";"261,129"
"394,202";"367,831";"833,202";"503,277";"495,891";"356,575";"286,04";"229,397";"463,28";"320,326"
"436,689";"405,012";"806,43";"581,845";"545,55";"392,721";"318,503";"251,761";"513,329";"351,374"
"379,042";"354,417";"667,109";"496,01";"470,701";"344,514";"279,599";"220,935";"446,861";"306,48"
"317,91";"299,705";"536,715";"402,827";"394,758";"291,105";"231,317";"185,83";"376,835";"262,271"
"442,194";"410,738";"881,799";"587,53";"540,788";"401,629";"325,258";"254,031";"514,401";"354,142"
"396,532";"370,248";"713,036";"530,731";"490,064";"365,133";"292,423";"231,001";"465,374";"319,747"
"446,61";"415,739";"849,532";"589,073";"548,1";"408,508";"324,645";"258,763";"521,289";"360,112"
"333,49";"313,242";"565,462";"421,299";"416,189";"309,563";"244,93";"194,325";"395,135";"272,491"
"375,144";"352,026";"717,728";"483,037";"476,548";"346,465";"273,963";"219,22";"444,26";"303,562"
"296,386";"280,242";"486,527";"360,977";"371,014";"276,393";"218,908";"173,658";"350,096";"258,51"
"369,826";"346,435";"641,802";"481,079";"456,05";"341,273";"267,417";"212,89";"439,733";"299,007"
"421,568";"392,17";"799,027";"581,151";"523,938";"387,594";"311,468";"244,501";"494,101";"335,675"
"397,397";"371,706";"749,221";"514,85";"493,946";"365,709";"287,818";"233,473";"470,674";"319,155"
"392,791";"366,425";"726,875";"513,551";"491,141";"360,963";"283,428";"228,806";"462,608";"316,046"
"471,99";"436,27";"969,727";"668,71";"584,538";"428,937";"342,156";"271,426";"548,871";"375,601"
"354,931";"326,719";"607,576";"446,584";"433,47";"322,252";"252,164";"205,941";"413,004";"280,921"
"370,786";"344,196";"670,718";"471,398";"457,265";"339,005";"267,48";"213,976";"430,828";"300,641"
"317,175";"296,783";"537,836";"402,833";"395,08";"293,141";"228,269";"185,902";"373,067";"259,58"
"374,181";"344,434";"812,667";"470,023";"453,017";"339,566";"266,17";"211,643";"434,765";"297,603"
"386,922";"356,367";"903,842";"487,365";"470,479";"350,496";"275,079";"221,859";"447,769";"307,637"
"453,276";"410,595";"922,716";"590,261";"540,538";"404,734";"324,238";"256,686";"516,776";"353,299"
"345,981";"320,27";"583,045";"439,633";"425,435";"316,542";"247,181";"202,111";"403,281";"279,854"
"472,515";"429,076";"909,373";"656,512";"567,413";"421,035";"335,807";"266,823";"538,022";"368,673"
"339,285";"313,996";"609,065";"421,318";"414,61";"309,393";"244,697";"195,798";"395,59";"272,886"
"445,988";"405,95";"883,28";"635,651";"535,663";"399,89";"317,58";"253,963";"513,449";"349,76"
"381,979";"351,748";"687,979";"491,058";"467,834";"346,632";"271,836";"218,19";"442,54";"308,743"
"397,111";"367,326";"763,535";"510,722";"485,888";"362,13";"284,901";"230,733";"463,436";"324,938"
"400,137";"371,539";"713,897";"516,034";"492,115";"361,364";"287,994";"233,62";"467,517";"320,05"
"463,564";"425,085";"928,9";"621,407";"574,793";"411,142";"336,721";"264,144";"532,035";"364,861"
"399,415";"370,348";"768,49";"514,941";"491,05";"355,771";"290,055";"230,378";"463,878";"321,936"
"369,668";"344,062";"660,144";"480,575";"461,058";"332,542";"269,546";"215,712";"431,565";"296,012"
"500,366";"457,865";"1036,35";"698,227";"608,588";"446,547";"368,543";"288,776";"576,364";"392,236"
