desktop-one,desktop-many,laptop-one,laptop-many,graphic-one,graphic-many,ray-one,ray-many,voxel-one,voxel-many
7951,5653.35,11604.8,8613.07,14115.2,8215.13,8247.78,5465.65,9471.78,6513.85
8105.33,5740.62,11749.4,8684.84,14256,8398.7,8580.23,4997.81,9433.59,6574.44
7922.39,5611.49,11967.2,8606.38,14016.9,8221.2,8656.8,4902.5,9530.39,6456.36
8335.27,6641.38,12502.5,9558.46,15040.9,9149.85,8514.36,5803.46,9525.52,7158.07
8145.97,5489.52,11507.4,8472.31,13884,7979.24,8548.76,4903.44,9328.76,6313.5
8370.75,6423.6,12285.7,9225.24,14713,8817.74,8318.03,5685.29,9230.42,6952.48
8093.98,5909.03,11993.6,8963.77,14424.6,8753.32,8599.67,5177.96,9381.09,6785.99
8006.13,5713.47,11944.9,8665.16,14287.7,8366.98,8390.39,5025.04,9442.82,6526.62
8247.71,6366.37,12116.2,9135.68,14561.5,8717.97,9025.19,5521.96,10198.7,7077.87
7705.54,5609.74,11390.1,8594.43,13914,8284.03,8368.86,4970.99,9975.5,8705.85
8242.89,5616.86,11640.7,8583.3,14084.7,8168.91,8156.11,4959.26,9119.55,9422.97
8332.16,6543.36,12420.2,9390.51,14982.2,9046.17,8386.25,5683.7,10172,7077.14
8321.13,6074.4,12861.1,9239.39,14698.9,8924.66,8841.48,5458.55,9880.59,8319.8
8103.36,5725.36,11742.9,8673.99,14089.5,8382.28,8373.05,5026.44,9245.14,9638.25
7939.36,5716.59,11724.6,8789.66,14609,8354.93,8438.69,5034.28,9487.8,9655.02
8295.57,6211.59,12103.7,8923.95,14480.8,8552.87,8688.67,5404.96,9407.78,6742.14
7936.62,5833.43,11820.3,8829.12,14279.4,8565.79,8279.8,5097.88,9259.52,6705.87
8731.24,6426.87,12129.8,9221.93,14594.9,8916.18,8448.1,5613.73,9431.39,6937.82
7750.15,5440.86,11211.4,8101.27,13481.4,7631.71,8632.62,5279.28,9825.18,8382.23
7638.09,5452.89,11233.6,8490.71,13710.1,8137.64,8635.15,4954.44,9479.33,9172.62
7987.5,5640.54,11833.4,8558.17,14038.6,8191.68,8603.34,4921.84,9262.35,9480.3
7796.24,5413.19,11525.2,8320.97,13829.9,7902.65,8435.45,4685.7,9304.43,6585.98
7621.38,5440.89,11305,8331.74,13707.2,8065.72,8401.82,4731.54,9429.8,6327.15
8059.72,5574.07,11739.9,8473.36,13975.1,8180.78,8529.02,5359.07,9421.42,6397.11
7830.49,5667.92,11582.9,8644.05,14020.6,8314.16,8533.54,5043.45,9841.38,6530
8109.27,6071.9,12199.5,9323.03,15129.7,8901.62,8636.81,5314.52,10138.4,6940.92
8041.76,5737.96,11705.7,8737.86,14133.1,8399.03,8203.32,5550.77,9384.72,9677.79
8371.33,5426.33,11389.2,8320.14,13751.9,7945.26,8357.51,5203.39,9348.67,6909.79
7957.8,5488.72,11521.1,8381.19,13807.2,8007.78,8771.2,4768.83,9382.38,8991.59
7663.13,5226.25,11092.1,7916.62,13303.5,7739.09,8460.46,4648.55,9010.3,6559.91
7933.79,5588.54,11544.1,8482,14357.2,8112.58,8434.26,4854.26,9638.01,6416.16
8465.63,5670.89,11879.8,8617.19,14175.7,8304.09,8391.88,4945.45,9395.76,6526.98
7993.74,5898.64,11758.2,9025.17,14375.2,8629.43,8333.47,5158.05,9629.37,8197.43
7750.74,5742.19,11424.1,8651.29,13846.7,8191.66,8488.75,5609.39,9295.68,6460.94
8196.16,6575.72,12365,9486.63,14783.7,9047.3,8476.87,5674.77,9731.17,7643.39
7874.64,5526.84,11440.9,8470.57,14143.2,8244.84,8456.42,4904.19,10557.2,8237.93
8174.09,6140.13,12208.5,9445.16,14804.9,9019.9,8619.28,5494.11,9524.26,7059.62
