desktop-one-pool,desktop-many-pools,desktop-many-pools-soa,laptop-one-pool,laptop-many-pools,laptop-many-pools-soa,graphic-one-pool,graphic-many-pools,graphic-many-pools-soa,ray-one-pool,ray-many-pools,ray-many-pools-soa,voxel-one-pool,voxel-many-pools,voxel-many-pools-soa
219528,95624,96948.5,285805,104522,104789,248994,87302.4,87448.5,163865,70941,70014.7,236534,78240.8,78793.6
216040,95886.7,96980.8,282591,105237,104992,247550,87810.4,87800.9,167806,71128.7,70263,236875,78152.9,78884.9
215663,95585.7,96596.8,284433,103607,104064,247494,87253.9,87392.4,162870,70859.2,69660.1,235920,77508.8,78421.1
216047,95347.7,96397.8,283052,103514,104326,246272,87162.7,87159.1,163127,70810.8,69958.8,237433,77751,78745.5
217193,95941.9,97146.6,284849,103938,105463,246253,90119.4,87886.5,165421,70993.7,70278.7,236166,77660.9,79142.7
217723,95956.9,97325.2,287474,104025,105170,247332,88118.5,87655.4,164068,72264.9,70325.8,235998,77704.4,79470.7
217061,95219.5,96049.4,286115,103432,103606,248251,86883.9,86908.6,163462,70603.5,69556.6,277352,77152.7,77699.8
216998,96408.2,97684,282313,104967,105643,247513,88125.5,88544.8,164204,71222.6,71015.9,235549,80523.2,79463.5
215939,95857.7,96892.1,282909,103517,105529,246498,87400.2,87746.7,163381,70912.6,70545,235860,77777.3,79971.5
216039,95313.5,95512,282267,102638,103212,245668,87594.5,86412.8,163487,70054,69450.7,235833,76763.1,77577.2
218651,95366.7,96507.1,283475,103492,104306,246716,87211.6,87364.8,163932,70750.3,69914.4,235850,81977.9,78601.7
218508,96213.7,97472.5,284894,104507,105211,248365,87806.8,88395.9,164501,71173.7,70769.2,241341,78426.8,80474.7
