desktop-one,desktop-many,laptop-one,laptop-many,graphic-one,graphic-many,ray-one,ray-many,voxel-one,voxel-many
7617.78,4939.68,10715.2,7688.9,13016,7242.78,8212.77,4157.48,8906.87,5783.93
7204.08,4915.87,10718.8,7701.54,12909.2,7310.41,8155.83,4124.01,9193.65,5717.29
7343.72,4942.38,10796.8,7669.03,13125.7,7891.7,8294.66,4293.97,9097.89,5836.59
7812.37,4946.59,10818,7679.47,13115.8,7318.89,8158.7,4422.59,9031.27,5767.05
7706.07,4865.21,10456.7,7591.42,12644.2,7091.39,8066.62,4189.93,8790.5,5615.88
7777.52,4952.87,10823.3,7725.4,13144.4,7291.33,8422.33,4371.59,9116.42,5770.56
7617.73,5174.95,10774.7,7742.88,13059,7275.87,8298.55,4321.57,9261.65,5797.03
7490.36,4976.6,10764.5,7770.37,13173.5,7402.74,8631.47,4203.31,9222.74,5815.33
7711.51,4904.66,10775.8,7477.69,13071.7,7247,8126.81,4522.85,8961.4,5841.89
7624.38,5027.96,10791,7831.46,13126.2,7399.23,8907.39,4434.81,9641.52,5836.13
7387.3,4980.62,10732.7,7745.23,13124.7,7418.91,8598.88,4226.37,9486.25,5816.82
7523.94,5125.52,10740.9,7641.65,13084.3,7188.13,8405.41,5077.49,9000.31,5695.59
7774.23,4976.11,10828.2,7784.72,13144.5,7360.13,8435.49,4219.91,8991.69,5809.54
7810.62,4940.27,10779,7758.49,12936,7234.87,8109.17,4252.21,8905.59,5755.15
7274.77,4873.64,10521.2,7578.64,12778.7,7114.02,8088.96,4283.48,9036.35,8079.32
7496.59,5192.2,10819.6,7712.98,13214.8,7376.76,8404.25,4114.5,9395.46,5832.26
7760.88,4983.08,10891,7768.81,13160,7411.52,8421.55,4716.5,9290.17,5811.74
7568.79,4968.61,10708.4,7710.73,13723.6,7400.15,8331.65,4208.44,9937.92,8338.85
7389.56,4980.89,10810.7,7803.69,13115.1,7263.43,8526,4273.92,9484.64,7850
7984.17,4973.77,11032,7798.45,13214.7,7368.48,8618.08,4286.51,9203.75,8210.72
7368.29,5031.48,10790.2,7856.33,13181.9,7507.33,8841.96,4297.03,9363.5,5867.34
7485.47,4941.18,10603.5,7690.97,13017.2,7289.89,8286.43,4407.31,9279.95,5747.72
7340.8,4952.7,10682,7710.78,13005.6,7256.69,8463.06,4126.64,10376.8,5761.49
7588.78,4942.6,10715.9,7709.35,13064.8,7302.1,8341.44,4185.01,9365.11,8300.73
7750.03,4978.42,10713.9,7736.41,13078.2,7352.1,8501.12,4189.91,9178.05,8250.37
7356.97,4986.65,10848.4,7822.5,13124.9,7296.16,8533.17,4133.54,9246.45,5838.48
7900.23,4996.52,11285.9,7751.48,13140.3,7307.57,8401.95,5221.85,9087.19,5870.12
7227.09,4942.4,10673.5,7733.81,13106.6,7334.2,8319.47,4174.4,9532.65,5759.76
7394.77,4954.74,10869.5,7796.97,13177,7298.95,8380.41,5294.42,9347.93,5829.41
7387.12,5000.44,10700.6,7819.41,13041.4,7397.04,8337.93,4254.17,9446.45,5827.45
7639.67,4945.66,10786.8,7689.59,12972.2,7237.94,8020.36,4153.03,8746.35,7129.71
7414.25,4967.74,11086,7759.84,13123.1,7363.46,8381.46,4178.88,9549.34,8275.86
7365.49,5056.9,10907.2,7884.02,13242.5,7404.08,8465.31,4163.04,9157.7,8197.84
7831.46,4957.78,10744,7671.29,13058.8,7282.24,8348.02,4132.38,9635.22,6922.7
7377.33,4977.31,10810.8,7743.24,13251.6,7364.68,8401.34,4177.87,9248.81,5831.69
7349.67,4974.19,10838,7795.32,13272.7,7394.63,8422.8,4192.85,9431.51,5812.33
7344.72,4875.19,10753.8,7761.39,12875.9,7204.91,8571.41,4544.95,9222.29,5699.57
7377.82,4952.87,11055.3,7681.36,13031,7225.84,8330.22,4176.41,9358.28,5813.3
7523.32,4951.37,10715.2,7809.73,13119.4,7271.43,8306.13,4161.6,9134.14,8212.41
7408.79,4935.37,10985.9,7694.65,13152.3,7362.23,8318.12,4341.71,9398.19,5774.24
7769.49,4889.58,10611.6,7683.68,12992.1,7223.49,8144.31,4596,9394.46,8234.97
