desktop-one,desktop-many,laptop-one,laptop-many,graphic-one,graphic-many,ray-one,ray-many,voxel-one,voxel-many
8906.74,7706.26,13682.9,11036,17286.4,10588.4,8712.65,6755.93,11110.3,8328.77
9401.19,8158.47,14587.8,12375.7,19184.9,11866.7,9530.61,7210.39,10043.5,9356.84
9286.32,7969.64,14331.1,12138.4,18248.6,11577.9,9446.47,7045.4,11040.5,9191.77
9097.27,8175.51,14015.6,11713.9,17588.9,11235.3,8823.63,7127.24,10315.7,8958.43
9315.04,7888.4,14947.4,11947.1,16450.7,11454.4,9494.04,6967.88,10584.1,11360
8856.19,7626.25,13435.7,10855.9,16417.1,10482.6,9318.48,6640.32,10237.7,8278
9235.69,8319.84,14781.5,11868.6,16070.7,11504.6,9968.52,7255.9,10594.3,8974.27
9139.78,8282.14,14096.7,11791.6,17549.6,11365.8,9858.05,7203.44,10839.7,8927.61
9138.01,7611.76,15457.4,11642.4,17402.1,11165.4,9545.92,6722.87,10414.2,8721.26
9826.22,7784.1,14669.3,11828.3,15114.6,11320.2,9448.77,6876.91,10719,9036.75
8937.83,7963.51,13695.1,11392.6,16655.5,10956.1,8858.04,7066.86,10063.3,8582.49
9589.01,8367.52,14834.9,12753.2,19177.9,12185.5,9071.93,7409.38,10462.5,9570.3
9332.55,7956.11,14373,12096.8,17650.4,11662,8924.98,7045.26,11084.7,9150.22
9362.66,8633.63,14542.7,12347.3,18032,11836.2,9029.19,7709.58,10232.6,9330.46
9172.58,7722.1,14091.4,11702.6,17251.2,11193.8,8598.53,6805.43,11753.2,8800.15
9334.59,8072.21,14454.1,12743,16881.3,11728.7,8908.45,7131.09,13720.1,9229.47
9067.69,8121.75,13833.1,11851,17019.1,11093.1,9187.68,7117.75,10964.3,8714.79
9091.15,8175.38,14156.6,12106.1,16389.8,11217.9,9856.83,7103.79,10449.9,8770.03
9140.04,8106.03,14011.5,12000.5,17090.2,11140,8934.77,7070.22,10834.7,8682.65
9331.66,8033.16,14988.5,12671.4,16309.1,11629,10660.5,7105.19,10910.9,9186.28
9449.7,8216.44,14609,12397.8,17877.9,11886.9,9067.35,7242.62,11733.1,10364.4
9324.93,7952.48,14387.9,12100.3,17233.5,11732.9,8759.66,7035.23,11160.8,9116.31
9197.82,7825.19,14218.1,12010.4,18383.1,11365.4,9940.89,6929.88,11313.4,8953.97
9327.82,7987.56,14815,12075.5,16939.1,11607.3,8959.19,7068.58,11146.4,9114.98
9149.21,7707.12,14765.9,11712.5,16106.2,11151.1,9428.16,6803.23,10982.8,8807.61
9250.01,7722.59,14008.7,11821.1,18301.3,11195.2,9316.42,6830.76,12247.2,8819.04
9482.89,8219.72,14844.1,12516.6,18380.6,11968.9,10711.5,7258.23,14731.2,10189.3
9008.24,7962.92,13861.7,11412.3,16625.4,10987.3,8594.02,6991.32,10570.3,8677.63
9214.3,8357.37,14211.7,11972.3,17241.1,11455.3,8879.17,7351.14,10079,9020.58
9376.83,8080.11,15107.9,12301,16518.1,11811.3,9799.54,7159.63,15710.9,9798.65
9129.17,7683.81,14098.2,11648.3,16398.2,11192.3,9521.22,6779.74,10350.2,8775.05
9333.4,8088.56,14963.4,12289.8,18009.8,11839.4,9746.92,7150.75,15973,9355.17
